name,series,character,release,price,size,sculptor,painter,material,brand,url,blog_url
"ムーンキャンサー／BB　南国小麦色Ver.","Fate/Grand Order","Fate/Grand Order MoonCancer/BB","2023年5月発売 ","30,580円（税抜27,800円） ","1/8 スケール 全高：約290mm（台座含む）","sai 原型協力：アルター","星名 詠美","PVC&ABS製塗装済完成品表情は２種が再現可能",Alter,https://alter-web.jp/products/517/,"/blog_alter/2022/231/,"
"ムーンキャンサー／BB　小悪魔たまご肌Ver.","Fate/Grand Order","Fate/Grand Order MoonCancer/BB","2023年5月発売 ","30,580円（税抜27,800円） ","1/8 スケール 全高：約290mm（台座含む）","sai 原型協力：アルター","星名 詠美  彩色協力：アルター","PVC&ABS製塗装済完成品表情は２種が再現可能",Alter,https://alter-web.jp/products/518/,"/blog_alter/2022/231/,"
"フランドール・スカーレット","東方Project","Touhou Project Flandre Scarlet","2023年5月発売 ","34,980円（税抜31,800円） ","1/8 スケール 全高：約250mm（台座含む）","sai","鉄森 七方","PVC&ABS製塗装済完成品ポーズは２種が再現可能illustration：本田 ロアロ",Alter,https://alter-web.jp/products/516/,"/blog_alter/2022/227/,/blog_alter/2021/198/,"
"スカサハ　刺し穿つバニーVer.","Fate/Grand Order","Fate/Grand Order Scáthach","2023年4月発売  2020年7月発売 ","18,480円（税抜16,800円） ","1/7 スケール 全高：約290mm","沼倉 としあき","沼倉 としあき","PVC&ABS製塗装済完成品",Alter,https://alter-web.jp/products/251/,"/blog_alter/2022/244/,/blog_alter/2019/145/,"
"【EVA GLOBAL】アヤナミレイ（仮称）Millennials Illust Ver. フィギュア","「エヴァンゲリオン」シリーズ","“EVANGELION” series Rei Ayanami (tentative name) ","2023年4月発売 ","20,680円（税抜18,800円） ","1/7 スケール 全高：約220mm","飛田 崇文","鉄森 七方","PVC&ABS製塗装済完成品企画：EVA GLOBAL × ALTER （協力： BeBOX）",Alter,https://alter-web.jp/products/515/,"/blog_alter/2022/230/,"
"ホノルル","アズールレーン","AZUR LANE USS Honolulu","2023年4月発売 ","36,080円（税抜32,800円） ","1/7 スケール 全高：約260mm","みさいる【ホノルル】 ウサギ【艤装】","鉄森 七方【ホノルル】 みうら おさみ【艤装】","PVC&ABS製塗装済完成品上着は着脱可能艤装は取り外し可能",Alter,https://alter-web.jp/products/510/,"/blog_alter/2022/222/,"
"ホノルル　軽装Ver.","アズールレーン","AZUR LANE USS Honolulu","2023年4月発売 ","21,780円（税抜19,800円） ","1/7 スケール 全高：約260mm","みさいる","鉄森 七方","PVC&ABS製塗装済完成品上着は着脱可能",Alter,https://alter-web.jp/products/511/,"/blog_alter/2022/222/,"
"宮本 フレデリカ　フレ・デ・ラ・モードVer.","アイドルマスター シンデレラガールズ","THE IDOLM@STER CINDERELLA GIRLS Miyamoto Frederica","2023年3月発売 ","19,580円（税抜17,800円） ","1/7 スケール 全高：約230mm","飛田 崇文","鉄森 七方","PVC&ABS製塗装済完成品",Alter,https://alter-web.jp/products/513/,"/blog_alter/2022/224/,"
"加藤恵　Memorial Ver.","冴えない彼女の育てかた Fine","Saenai heroine no sodate-kata.Fine Kato Megumi","2023年3月発売 ","16,280円（税抜14,800円） ","1/7 スケール 全高：約240mm","てるゆき＋DUTCH ","DUTCH ","PVC&ABS製塗装済完成品",Alter,https://alter-web.jp/products/509/,"/blog_alter/2022/223/,"
"グラーフ・ツェッペリン　砂浜のウルズVer.","アズールレーン","AZUR LANE KMS Graf Zeppelin","2023年1月発売 ","25,080円（税抜22,800円） ","1/7 スケール 全高：約250mm","本宮 あまと","鉄森 七方","PVC&ABS製塗装済完成品制帽をかぶった姿も再現可能マスコットは取り外し可能",Alter,https://alter-web.jp/products/504/,"/blog_alter/2021/215/,"
"ボルチモア","アズールレーン","AZUR LANE USS Baltimore","2023年1月発売 ","34,980円（税抜31,800円） ","1/7 スケール 全高：約260mm 全長：340mm（艤装含む）","田中 冬志【ボルチモア】 ウサギ【艤装】","渡邊 恭大","PVC&ABS製塗装済完成品艤装は取り外し可能、右腕２種付属",Alter,https://alter-web.jp/products/505/,"/blog_alter/2022/217/,"
"ボルチモア　軽装Ver.","アズールレーン","AZUR LANE USS Baltimore","2023年1月発売 ","20,680円（税抜18,800円） ","1/7 スケール 全高：約260mm","田中 冬志","渡邊 恭大","PVC&ABS製塗装済完成品",Alter,https://alter-web.jp/products/506/,"/blog_alter/2022/217/,"
"空の律者　キアナ","崩壊3rd","","2021年12月発売 ","25,080円（税抜22,800円） ","1/8 スケール 全高：約290mm（武器／台座含む） 全長：約390mm（武器含む）","sai","鉄森 七方","PVC&ABS製塗装済完成品",Alter,https://alter-web.jp/products/481/,"/blog_alter/2020/178/,"
"ユウキ","ソードアート・オンライン","","2021年12月発売 ","16,280円（税抜14,800円） ","1/7 スケール 全高：約230mm","無銘","渡邊 恭大","PVC&ABS製塗装済完成品",Alter,https://alter-web.jp/products/480/,"/blog_alter/2020/177/,"
"胡蝶 しのぶ","鬼滅の刃","","2021年9月発売 ","17,380円（税抜15,800円） ","1/8 スケール 全高：約220mm（台座含む）","爪塚 ヒロユキ","爪塚 ヒロユキ","PVC&ABS製塗装済完成品",Alter,https://alter-web.jp/products/484/,"/blog_alter/2021/208/,/blog_alter/2020/181/,"
"シノン","劇場版 ソードアート・オンライン -オーディナル・スケール-","","2021年9月発売  2018年10月発売 ","19,580円（税抜17,800円） ","1/7 スケール 全高：約250mm","田中 冬志 原型協力：アルター","渡邊 恭大","PVC&ABS製塗装済完成品",Alter,https://alter-web.jp/products/206/,"/blog_alter/2018/130/,/blog_alter/2018/96/,"
