name,material
折原 臨也　サイケデリックVer.,PVC
伏見 猿比古,PVC
八田 美咲,PVC
七瀬 遙,PVC
橘 真琴,PVC
跡部 景吾,PVC
松岡 凛,PVC
折原 臨也　Renewal Ver.,PVC
平和島 静雄　Renewal Ver.,PVC
テイルズ オブ グレイセス エフ　アスベル・ラント,PVC
テイルズ オブ シンフォニア　ロイド・アーヴィング,PVC
テイルズ オブ ジ アビス　ルーク・フォン・ファブレ,PVC
四ノ宮 那月,PVC
来栖 翔,PVC
夏目 貴志,PVC
聖川 真斗,PVC
神宮寺 レン,PVC
テイルズ オブ シンフォニア　ゼロス・ワイルダー,PVC
一十木 音也,PVC
一ノ瀬 トキヤ,PVC
テイルズ オブ ヴェスペリア　天を射る矢（アルトスク）のレイヴン,PVC
ウェイバー・ベルベット,PVC
テイルズ オブ エクシリア　ジュード・マティス,PVC
折原 臨也,PVC
一方通行（アクセラレータ）,PVC
平和島 静雄,PVC
テイルズ オブ ヴェスペリア　フレン・シーフォ,PVC
テイルズ オブ ヴェスペリア　ユーリ・ローウェル,PVC
木ノ瀬 梓,PVC
池沢 佳主馬 & キング・カズマ,PVC
近江 彼方　Special 7ver.,PVC
近江 彼方　Special 7ver.,ABS
アルクェイド・ブリュンスタッド,PVC
アルクェイド・ブリュンスタッド,ABS
氷堂美智留 ～ランジェリーver.～,PVC
氷堂美智留 ～ランジェリーver.～,ABS
ララ・サタリン・デビルーク　水着Ver.,PVC
ララ・サタリン・デビルーク　水着Ver.,ABS
波島出海 ～ランジェリーver.～,PVC
波島出海 ～ランジェリーver.～,ABS
モモ・ベリア・デビルーク　-ベビードール Ver.-,PVC
モモ・ベリア・デビルーク　-ベビードール Ver.-,ABS
霞ヶ丘詩羽 ～ランジェリーver.～,PVC
澤村・スペンサー・英梨々　～ランジェリーver.～,PVC
加藤恵 ～ランジェリーver.～,PVC
桜内 梨子　Special 7ver.,PVC
柳生十兵衛　ファイナルブライドVer.,PVC
ララ・サタリン・デビルーク　-パステルコーデ Ver.-,PVC
シャルル・ド・ダルタニアン,PVC
上杉景勝,PVC
あんこ ＆ デラ,PVC
後藤又兵衛,PVC
真田幸村　Version 2.0,PVC
セイバーオルタ　メイドVer.,PVC
服部半蔵　HJ限定版,PVC
真田幸村,PVC
天城 雪子,PVC
Xenosaga Ⅲ　KOS-MOS Ver.4,PVC
POP WONDERLAND 『赤ずきん』,PVC
POP WONDERLAND 『ふしぎの国のアリス』,PVC
Xenosaga Ⅲ　T-elos,PVC
一橋 ゆりえ　制服Ver.,PVC
梓川 月乃　水着Ver.,PVC
梓川 月乃　パンタジア制服Ver.,PVC
草薙 素子,PVC
